年月,年,月,仕入金額,納品金額,粗利,粗利率,仕入件数,納品件数
"2025年01月",2025,1,0,0,0,"0.00%",0,0
"2025年02月",2025,2,0,0,0,"0.00%",0,0
"2025年03月",2025,3,0,0,0,"0.00%",0,0
"2025年04月",2025,4,0,0,0,"0.00%",0,0
"2025年05月",2025,5,0,0,0,"0.00%",0,0
"2025年06月",2025,6,0,0,0,"0.00%",0,0
"2025年07月",2025,7,0,0,0,"0.00%",0,0
"2025年08月",2025,8,0,0,0,"0.00%",0,0
"2025年09月",2025,9,38750,30175,-8575,"-28.42%",4,5
"2025年10月",2025,10,185176.99,90100,-95076.98999999999,"-105.52%",55,7
"2025年11月",2025,11,149121.96,40950,-108171.95999999999,"-264.16%",76,5
"2025年12月",2025,12,360099.9,133550,-226549.90000000002,"-169.64%",59,5